,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
70,Natural,Imagine Dragons,1324258,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
71,MAMA (feat. Nicki Minaj^ Kanye West),6ix9ine,1311241,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
72,Leave Me Alone,Flipp Dinero,1304057,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
73,Ruin My Life,Zara Larsson,1269623,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
74,Cuando Te Besé,Becky G,1269524,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
75,Kiss and Make Up,Dua Lipa,1266753,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
76,Happy Xmas (War Is Over) - Remastered,John Lennon,1258870,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
77,Another One Bites The Dust - Remastered 2011,Queen,1248163,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
78,Psycho (feat. Ty Dolla $ign),Post Malone,1248030,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
79,One Kiss (with Dua Lipa),Calvin Harris,1233864,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
80,Woman Like Me (feat. Nicki Minaj),Little Mix,1231504,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
81,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,1220206,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
82,Happy Now (feat. Sandro Cavazza),Kygo,1206392,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
83,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,1203273,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
84,Nonstop,Drake,1202415,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
85,I Love It (& Lil Pump),Kanye West,1201840,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
86,God is a woman,Ariana Grande,1197108,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
87,Te Boté - Remix,Nio Garcia,1197099,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
88,come out and play,Billie Eilish,1192624,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
89,changes,XXXTENTACION,1189657,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
90,Adictiva,Daddy Yankee,1174952,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
91,breathin,Ariana Grande,1174659,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
92,Shape of You,Ed Sheeran,1172901,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
93,Imposible,Luis Fonsi,1162087,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
94,IDGAF,Dua Lipa,1136443,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
